App,ID,Finding,Status,Reproducible,Neo,Claude,Snyk,Invicti,Semgrep,Severity
MedPortal,MED-028,File Upload Path Traversal,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
MedPortal,MED-029,Prisma Client Singleton Exposed on Global,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
MedPortal,MED-030,No CORS Configuration,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
MedPortal,MED-031,Stale Demo Share Token in Seed Data,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
MedPortal,MED-032,User Enumeration via Timing Side-Channel,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
MedPortal,MED-034,Patient Can Overwrite userId via Mass Assignment — Account Association Hijack,VALID,YES,FALSE,FALSE,FALSE,FALSE,FALSE,CRITICAL
MedPortal,MED-035,IDOR — Any Patient Can Modify or Delete Any Appointment (No Ownership Check),VALID,YES,FALSE,FALSE,FALSE,FALSE,FALSE,HIGH
MedPortal,MED-036,Share Link Revocation Bypass — Deactivated Links Remain Functional,VALID,YES,FALSE,FALSE,FALSE,FALSE,FALSE,HIGH
MedPortal,MED-037,Lab Order Workflow State Bypass — Invalid Transitions Accepted,VALID,YES,FALSE,FALSE,FALSE,FALSE,FALSE,HIGH
ClaimFlow,CF-001,Missing Authorization on Admin User Management Actions (createUser/updateUser),VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,CRITICAL
ClaimFlow,CF-002,Deactivated User Retains Full Application Access,VALID,YES,TRUE,FALSE,FALSE,FALSE,FALSE,CRITICAL
ClaimFlow,CF-003,Document Verification IDOR — No Ownership Check on Document ID,VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,HIGH
ClaimFlow,CF-004,Systemic Password Hash Exposure via Drizzle ORM Relations,VALID,YES,TRUE,FALSE,FALSE,FALSE,FALSE,HIGH
ClaimFlow,CF-005,Missing Authorization on Adjuster Claim Actions (updateStatus addNote verifyDocument),VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,HIGH
ClaimFlow,CF-006,Missing Authorization on Underwriter makeDecision Action,VALID,YES,TRUE,FALSE,FALSE,FALSE,FALSE,HIGH
ClaimFlow,CF-007,Workflow API Mass Assignment via updateData Spread,VALID,YES,TRUE,FALSE,FALSE,FALSE,FALSE,MEDIUM
ClaimFlow,CF-008,Adjuster updateStatus Bypasses Workflow Transition Validation,VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,MEDIUM
ClaimFlow,CF-009,Batch Operations Accessible to Adjuster Role + Bypass Workflow Rules,VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,MEDIUM
ClaimFlow,CF-010,Missing Authorization on Settlement Calculate Action,VALID,YES,TRUE,FALSE,FALSE,FALSE,FALSE,MEDIUM
ClaimFlow,CF-011,Missing Role Check on Triage API — Any User Can Trigger Fraud Checks,VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,MEDIUM
ClaimFlow,CF-012,Missing Role Check on API Endpoints (Settlement GET Workflow GET),VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,MEDIUM
ClaimFlow,CF-013,CSRF Protection Missing on API Endpoints (+server.ts),VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,MEDIUM
ClaimFlow,CF-014,Unrestricted File Upload in Message Attachments (No MIME Validation),VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,MEDIUM
ClaimFlow,CF-015,Weak Password Hashing — SHA-256 with Hardcoded Static Salt,VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,MEDIUM
ClaimFlow,CF-016,Session Cookie Missing Secure Flag in Non-Production,VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,LOW
ClaimFlow,CF-017,Sessions Not Invalidated on Password Change,VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,LOW
ClaimFlow,CF-018,No Rate Limiting on Login,VALID,YES,TRUE,TRUE,FALSE,FALSE,FALSE,LOW
ClaimFlow,CF-019,Unlimited Concurrent Sessions — No Session Limit or Cleanup,VALID,YES,TRUE,FALSE,FALSE,FALSE,FALSE,LOW
ClaimFlow,CF-020,Account Enumeration via Registration Error Messages,VALID,YES,TRUE,FALSE,FALSE,FALSE,FALSE,LOW
ClaimFlow,CF-021,HTTP Strict Transport Security (HSTS) Policy Not Enabled,VALID,YES,TRUE,FALSE,FALSE,TRUE,FALSE,INFO
ClaimFlow,CF-022,Content Security Policy (CSP) Not Implemented,VALID,YES,TRUE,FALSE,FALSE,TRUE,FALSE,INFO
ClaimFlow,CF-023,Generic Email Address Disclosure,VALID,YES,FALSE,FALSE,FALSE,TRUE,FALSE,INFO
ClaimFlow,CF-024,X-Content-Type-Options (XCTO) Not Implemented,VALID,YES,FALSE,FALSE,FALSE,TRUE,FALSE,INFO
ClaimFlow,CF-025,path-join-resolve-traversal,FALSE POSITIVE,NO,FALSE,FALSE,FALSE,FALSE,TRUE,NA
ClaimFlow,CF-026,unsafe-formatstring,FALSE POSITIVE,NO,FALSE,FALSE,FALSE,FALSE,TRUE,NA
ClaimFlow,CF-027,Potential Sensitive Data Disclosure,FALSE POSITIVE,NO,FALSE,FALSE,FALSE,TRUE,FALSE,NA
ClaimFlow,CF-028,Sensitive Data in CSV Export,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
ClaimFlow,CF-029,Internal Error Messages Exposed to Clients,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
ClaimFlow,CF-030,Timing-Unsafe Password Comparison,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
ClaimFlow,CF-031,File Upload MIME Type Spoofing,FALSE POSITIVE,NO,TRUE,TRUE,FALSE,FALSE,FALSE,NA
ClaimFlow,CF-032,IDOR — Workflow API Exposes Any Claim Data,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
ClaimFlow,CF-033,Batch Operations Bypass Workflow Validation,FALSE POSITIVE,NO,TRUE,TRUE,FALSE,FALSE,FALSE,NA
ClaimFlow,CF-034,Document Verification — No Document-to-Claim Validation,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
ClaimFlow,CF-035,Path Traversal in Upload Paths,FALSE POSITIVE,NO,FALSE,TRUE,FALSE,FALSE,FALSE,NA
ClaimFlow,CF-036,Use of Hardcoded Passwords,FALSE POSITIVE,NO,FALSE,FALSE,TRUE,FALSE,FALSE,NA
ClaimFlow,CF-037,IDOR — Cross-User Claim Action Execution via Direct Object Reference,VALID,YES,FALSE,FALSE,FALSE,FALSE,FALSE,CRITICAL
